Prefix,Code,Type,Line,Station
0100,00193348,地铁,2号线,公园前
0100,00193349,地铁,2号线,公园前
0100,00193350,地铁,2号线,公园前
0100,00193351,地铁,2号线,公园前
0100,00193352,地铁,2号线,公园前
0100,00193353,地铁,2号线,公园前
0100,00193354,地铁,2号线,公园前
0100,00193355,地铁,2号线,公园前
0100,00193356,地铁,2号线,公园前
0100,00193357,地铁,2号线,公园前
0100,00193359,地铁,2号线,昌岗
0100,00193360,地铁,2号线,昌岗
0100,00193361,地铁,2号线,昌岗
0100,00193362,地铁,2号线,昌岗
0100,00193363,地铁,2号线,昌岗
0100,00193364,地铁,2号线,昌岗
0100,00193365,地铁,2号线,昌岗
0100,00193366,地铁,2号线,昌岗
0100,00193367,地铁,2号线,昌岗
0100,00193368,地铁,2号线,昌岗
0100,00193369,地铁,2号线,昌岗
0100,00193370,地铁,2号线,昌岗
0100,00193371,地铁,2号线,昌岗
0100,00193372,地铁,2号线,昌岗
0100,00193373,地铁,2号线,昌岗
0100,00193374,地铁,2号线,江泰路
0100,00193375,地铁,2号线,江泰路
0100,00193376,地铁,2号线,江泰路
0100,00193377,地铁,2号线,江泰路
0100,00193378,地铁,2号线,江泰路
0100,00193379,地铁,2号线,江泰路
0100,00193380,地铁,2号线,江泰路
0100,00193381,地铁,2号线,江泰路
0100,00193382,地铁,2号线,江泰路
0100,00193383,地铁,2号线,江泰路
0100,00193384,地铁,2号线,江泰路
0100,00193385,地铁,2号线,江泰路
0100,00193386,地铁,2号线,东晓南
0100,00193387,地铁,2号线,东晓南
0100,00193388,地铁,2号线,东晓南
0100,00193389,地铁,2号线,东晓南
0100,00193390,地铁,2号线,东晓南
0100,00193391,地铁,2号线,东晓南
0100,00193392,地铁,2号线,东晓南
0100,00193393,地铁,2号线,东晓南
0100,00193394,地铁,2号线,东晓南
0100,00193395,地铁,2号线,东晓南
0100,00193396,地铁,2号线,南洲
0100,00193397,地铁,2号线,南洲
0100,00193398,地铁,2号线,南洲
0100,00193399,地铁,2号线,南洲
0100,00193400,地铁,2号线,南洲
0100,00193401,地铁,2号线,南洲
0100,00193402,地铁,2号线,南洲
0100,00193403,地铁,2号线,南洲
0100,00193404,地铁,2号线,南洲
0100,00193405,地铁,2号线,南洲
0100,00193406,地铁,2号线,南洲
0100,00193407,地铁,2号线,南洲
0100,00193408,地铁,2号线,洛溪
0100,00193409,地铁,2号线,洛溪
0100,00193410,地铁,2号线,洛溪
0100,00193411,地铁,2号线,洛溪
0100,00193412,地铁,2号线,洛溪
0100,00193413,地铁,2号线,洛溪
0100,00193414,地铁,2号线,洛溪
0100,00193415,地铁,2号线,洛溪
0100,00193416,地铁,2号线,洛溪
0100,00193417,地铁,2号线,洛溪
0100,00193418,地铁,2号线,洛溪
0100,00193419,地铁,2号线,洛溪
0100,00193420,地铁,2号线,洛溪
0100,00193421,地铁,2号线,洛溪
0100,00193422,地铁,2号线,洛溪
0100,00193423,地铁,2号线,洛溪
0100,00193424,地铁,2号线,南浦
0100,00193425,地铁,2号线,南浦
0100,00193426,地铁,2号线,南浦
0100,00193427,地铁,2号线,南浦
0100,00193428,地铁,2号线,南浦
0100,00193429,地铁,2号线,南浦
0100,00193430,地铁,2号线,南浦
